name,desc
SLOVENSKÝ POHÁR 21/22_AD,Amatérske dvojice
SLOVENSKÝ POHAR 21/22_OD,Open dvojice
SLOVENSKÝ POHÁR 21/22_WS,Ženy jednotlivci
SLOVENSKÝ POHÁR 21/22_WD,Ženy dvojice
SLOVENSKÝ POHÁR 21/22_OS,Open singles
SLOVENSKÝ POHÁR 21/22_2B,2 Ball rollerball
SLOVENSKÝ POHÁR 21/22_MD,Miešané dvojice
SLOVENSKÝ POHAR 21/22_OD,Open dvojice
SLOVENSKÝ POHÁR 21/22_AD,Amatérske dvojice
SLOVENSKÝ POHÁR 21/22_WS,Ženy jednotlivci
SLOVENSKÝ POHÁR 21/22_MD,Miešané dvojice
SLOVENSKÝ POHÁR 21/22_OS,Open singles
SLOVENSKÝ POHÁR 21/22_WD,Ženy dvojice
SLOVENSKÝ POHÁR 21/22_2B,2 Ball rollerball
MSR 2021_DYP,Monster DYP
MSR 2021_GW,Goalie war
MSR 2021_FSO,Forward shoot out
MSR 2021_CD,Classic doubles
MSR 2021_OD,Open doubles
MSR 2021_AD,Amateur doubles
MSR 2021_WS,Women singles
MSR 2021_MD,Mixed doubles
MSR 2021_2BALL,2 Ball rollerball
MSR 2021_OS,Open singles
MSR 2021_AS,Amateur singles
MSR 2021_WD,Women singles
SUMMER CHALLENGE 2021_OD,Open dvojice
SUMMER CHALLENGE 2021_WD,Women doubles
SUMMER CHALLENGE 2021_WS,Women singles
SUMMER CHALLENGE 2021_OS,Open singles
MSR 2020_DYP,Monster DYP
MSR 2020_FSO,Forward shoot-out
MSR 2020_GW,Goalie war
MSR 2020_CD,Classic doubles
MSR 2020_OD,Open doubles
MSR 2020_AD,Amateur doubles
MSR 2020_WS,Women singles
MSR 2020_JS,Junior singles
MSR 2020_OS,Open singles
MSR 2020_MD,Mixed doubles
MSR 2020_2BALL,2 Ball rollerball
MSR 2020_AS,Amateur singles
MSR 2020_WD,Women doubles
MSR 2019_OD,Open doubles
MSR 2019_MIX,Mixed doubles
MSR 2019_AD,Amateur doubles
MSR 2019_WS,Women singles
MSR 2019_2BALL,2Ball rollerball
MSR 2019_OS,Open singles
MSR 2019_WD,Women doubles
MSR 2019_AS,Amateur singles
MSR 2019_DYP,Monster DYP
MSR 2019_GW,Goalie war
MSR 2019_FSO,Forward shoot out
MSR 2019_CD,Classic doubles
ITSF_WS MULTITABLE PRO TOUR 2018/19,Women singles
ITSF_OD MULTITABLE PRO TOUR 2018/19,Open doubles
ITSF_AD MULTITABLE PRO TOUR 2018/19,Amateur doubles
SLOVENSKÝ POHÁR KLUBOV 2018/19,Team competition
ITSF_MD MULTITABLE PRO TOUR 2018/19,Mixed doubles
ITSF_OS MULTITABLE PRO TOUR 2018/19,Open singles
ITSF_2B MLTITABLE PRO TOUR 2017/18,2Ball rollerball
ITSF_AS MULTITABLE PRO TOUR 2018/19,Amateur singles
ITSF_DYP MULTITABLE PRO TOUR 2018/19,Monster DYP
POHÁR SŠ 2018/19_I. stupeň,Dvojice
POHÁR SŠ 2018/19_II. stupeň,Dvojice
POHÁR SŠ 2018/19_Miešané dvojice,Miešané dvojice
MASTERS SINGLES 2018,Slovak Masters singles
MASTERS DOUBLES 2018,Slovak Masters doubles
SLOVAK MASTERS 2018 AD,Amateur doubles
SLOVAK MASTERS 2018 JS,Junior singles
SLOVAK MASTERS 2018 OD,Open doubles
SLOVAK MASTERS 2018 WS,Women singles
SLOVAK MASTERS 2018 JD,Junior doubles
SLOVAK MASTERS 2018 2B,2Ball rollerball
SLOVAK MASTERS 2018 MD,Mixed doubles
SLOVAK MASTERS 2018 CD,Classic doubles
SLOVAK MASTERS 2018 WD,Women doubles
SLOVAK MASTERS 2018 AS,Amateur singles
SLOVAK MASTERS 2018 OS,Open singles
SLOVAK MASTERS 2018 DYP,Monster DYP
MSR 2018_DYP,Draw your partner
MSR 2018_GW,Goalie war
MSR 2018_FSO,Forward shoot-out
MSR 2018_CD,Classic doubles
MSR 2018_OD,Open doubles
MSR 2018_SD,Speedball doubles
MSR 2018_AD,Amatuer doubles
MSR 2018_WS,Women singles
MSR 2018_MIX,Mixed doubles
MSR 2018_JS,Junior singles
MSR 2018_2BALL,2Ball rollerball
MSR 2018_AS,Amateur singles
MSR 2018_OS,Open singles
MSR 2018_WD,Women doubles
MSR 2018_JD,Junior doubles
MAJSTROVSTVÁ SŠ 2017/18_MUŽI JEDNOTLIVCI,Muži jednotlivci
MAJSTROVSTVÁ SŠ 2017/18_Dvojice,Open dvojice
MAJSTROVSTVÁ SŠ 2017/18_Ženy jednotlivci,Ženy jednotlivci
MULTITABLE SÚŤAŽ KLUBOV 2017/18,Teams competition
ITSF_OD MULTITABLE PRO TOUR 2017/18,Open doubles
ITSF_AD MULTITABLE PRO TOUR 2017/18,Amateur doubles
ITSF_WS MULTITABLE PRO TOUR 2017/18,Women singles
ITSF_JS MULTITABLE PRO TOUR 2017/18,Junior singles
ITSF_SD MLTITABLE PRO TOUR 2017/18,Speedball doubles
